County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2020,71-236-18,,2115 ALAMEDA AVE APT D,,ADU20-0037,Accessory Dwelling Unit,Renter,8/17/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76614240663033,-122.24982039549317,"2115 Alameda Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,72-307-10,,919 UNION ST,,ADU19-0035,Accessory Dwelling Unit,Renter,9/10/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.76547213101048,-122.25817220471646,"919 Union St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-443-3,,512 TAYLOR AVE,,ADU20-0036,Accessory Dwelling Unit,Renter,8/15/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77262111765058,-122.28182815468453,"512 Taylor Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-250-19,,2023 LINCOLN AVE,,ADU20-0038,Accessory Dwelling Unit,Renter,8/17/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77042209022433,-122.24995724464776,"2023 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-183-2,,2444 ENCOINAL AVE,,ADU20-0035,Accessory Dwelling Unit,Renter,8/13/20,0,0,0,0,0,0,1,1,1,0,No,,97.06,37.761561016921014,-122.24267123166213,"2444 Encinal Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-436-6,,543 PACIFIC AVE,,ADU20-0031,Accessory Dwelling Unit,Renter,7/26/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7763913972532,-122.2802879281007,"543 Pacific Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-109-86,,3209 MONTE VISTA AVE,,ADU20-0033,Accessory Dwelling Unit,Renter,7/29/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76175220901366,-122.22735358782974,"3209 Monte Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-1225-5,,852 CEDAR ST,,ADU20-0032,Accessory Dwelling Unit,Renter,7/27/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.874143069652106,-122.29927039716661,"852 Cedar St, Berkeley, California, 94710"
ALAMEDA,CA,ALAMEDA,2020,71-219-21,,2210 LINCOLN AVE,,ADU20-0025,Accessory Dwelling Unit,Renter,7/2/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.768134149900405,-122.24486107305007,"2210 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-060-10,,1218 PEACH ST,,ADU20-0026,Accessory Dwelling Unit,Renter,7/2/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.754405086535186,-122.23336642633653,"1218 Peach St, Alameda, California, 94501"
